ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
397	12,2,6,7	739,540,532,535	17,10,17,7	572,556,475,460	446	149
398	1772,1177,1194,1162	11,3,4,5	1149,1236,1128,1217	3,5,0,5	259	149
399	265,249,208,193	67,80,47,63	171,148,155,153	46,63,45,49	175	149
400	1,0,1,0	3,4,3,3	3,2,3,0	7,6,3,2	1095	149
401	17,37,21,24	11,37,28,19	17,9,17,16	32,22,29,32	308	149
402	1,8,1,3	11,37,28,19	1,0,2,2	32,22,29,32	156	149
405	43,54,69,51	14,6,20,10	31,45,47,33	10,15,16,12	710	149
411	534,400,411,379	0,0,0,0	92,103,91,97	1,0,0,0	436	149
412	547,364,396,342	19,18,11,7	89,74,85,99	5,9,3,1	413	149
413	403,342,286,352	0,0,0,0	487,497,393,430	0,1,0,0	481	149
414	2,0,0,1	282,224,206,217	0,4,5,0	194,232,215,230	153	149
415	21,18,23,9	528,401,423,387	12,14,15,20	398,414,405,365	231	149
416	2085,1957,2054,1977	178,141,193,157	2045,2189,1887,1807	143,157,134,152	224	149
417	35,26,27,22	0,0,0,0	27,25,22,26	0,0,1,0	164	149
418	251,231,239,197	167,158,149,149	241,226,186,189	182,206,176,165	164	149
419	2,4,0,2	265,255,271,276	2,2,0,3	298,300,251,262	160	149
420	63,38,38,53	2,11,3,1	49,43,26,34	2,4,1,4	230	149
421	389,222,277,216	18,13,17,16	248,233,206,222	13,14,5,5	461	149
422	1546,1152,1269,1178	0,1,0,1	1272,1358,1104,1136	0,0,0,0	570	149
423	459,388,407,353	0,0,0,2	418,443,385,367	0,0,0,0	197	149
424	460,389,407,353	2,0,1,5	418,442,384,367	0,0,0,0	197	149
425	1497,1377,1475,1271	2,7,0,2	1447,1594,1323,1389	3,4,0,6	197	149
427	16,11,7,5	4,3,14,5	5,7,1,6	1,2,3,2	363	149
428	16,9,2,5	0,1,0,0	5,6,0,5	0,0,0,0	363	149
429	6,7,8,6	178,306,282,243	6,6,9,10	272,262,221,260	153	149
430	1791,1482,1511,1461	3,7,5,7	1201,1299,1255,1137	3,7,2,10	275	149
432	1062,781,758,754	4,2,4,0	804,766,820,745	6,1,1,2	184	149
433	1313,1014,1091,1054	0,0,0,0	1120,1177,953,1012	0,1,0,0	785	149
434	418,362,348,302	1,0,0,0	346,362,267,319	0,1,0,0	785	149
435	260,219,216,214	0,0,0,0	121,133,104,129	0,1,1,3	151	149
436	587,567,913,895	9,11,2,4	1127,1259,1153,909	4,0,0,4	271	149
437	20,14,12,4	11,10,23,23	11,4,7,5	16,9,14,17	269	149
439	1907,1273,1344,1327	0,0,0,0	1740,1750,1497,1687	0,0,1,0	2261	149
440	1362,920,922,943	1,1,0,1	1252,1284,1088,1165	0,0,0,0	264	149
441	157,205,250,214	0,0,0,0	265,241,206,188	0,2,0,0	1519	149
442	752,535,464,541	0,0,0,0	486,508,419,437	0,0,1,0	520	149
443	382,283,323,319	3,1,2,1	352,330,370,311	1,0,0,0	1504	149
444	4469,3573,3483,3482	48,33,39,16	3605,3602,3250,3349	31,36,33,32	1504	149
445	14,15,14,10	0,0,0,0	92,71,51,46	0,0,1,0	317	149
446	39,34,23,7	605,502,475,481	10,34,18,19	415,420,386,400	357	149
447	657,489,473,521	0,0,0,6	391,406,398,368	1,0,1,0	155	149
448	10,10,5,3	325,315,306,230	4,0,4,5	241,252,198,183	151	149
449	8,7,9,6	0,4,0,0	12,17,5,9	0,1,0,1	154	149
451	3646,3563,3494,3007	0,0,0,0	2900,3280,2774,2797	1,0,0,0	413	149
452	2350,2224,2124,2103	0,0,0,1	2101,2174,1829,1930	0,0,0,0	2864	149
453	1,1,0,0	0,0,1,0	1,0,0,0	2,0,1,2	153	149
454	373,243,265,248	0,0,0,0	230,264,237,242	0,0,1,1	309	149
455	81,51,52,60	7,3,0,0	38,51,49,53	0,3,0,0	307	149
456	3,4,5,6	163,113,144,111	8,5,2,4	119,142,131,125	185	149
457	147,113,126,129	0,3,1,0	155,103,77,96	2,0,0,1	494	149
458	162,124,118,138	0,0,0,0	122,124,74,95	0,0,3,0	1315	149
459	221,152,144,157	79,47,58,51	109,114,110,107	69,54,51,51	319	149
465	5,6,6,4	220,193,190,213	4,5,4,5	168,194,172,175	175	149
466	3,1,8,2	13,11,12,21	4,3,2,3	17,4,8,10	175	149
467	3,3,1,0	137,261,286,236	1,4,6,0	249,278,263,243	343	149
468	112,126,110,121	0,0,0,0	102,141,137,106	0,3,0,0	185	149
472	2,2,6,3	3,5,3,3	5,6,3,2	2,4,6,5	199	149
473	235,121,122,104	0,0,0,0	137,176,179,150	0,0,0,1	699	149
478	24,17,16,25	0,0,2,0	19,11,14,33	3,0,0,0	339	149
479	7,9,13,11	298,313,346,300	20,6,8,7	331,342,292,339	187	149
480	99,134,94,123	111,123,149,133	117,110,100,110	110,115,77,86	163	149
483	21,26,23,14	2,1,3,2	22,29,11,17	2,5,2,1	1460	149
484	67,55,50,65	138,101,113,141	63,70,50,58	95,113,95,75	173	149
485	8,7,0,10	0,5,0,2	5,12,5,15	5,0,2,0	173	149
486	30,26,26,18	855,625,728,610	36,25,19,24	844,922,845,797	516	149
487	18,26,17,19	1225,1219,1378,1210	19,25,31,29	1331,1296,1258,1243	338	149
488	28,37,35,34	0,0,0,0	23,31,31,37	0,1,0,0	363	149
489	10,12,11,12	3,2,4,1	12,19,18,20	8,3,5,10	338	149
490	29,57,47,49	1,1,0,1	32,42,34,44	0,2,0,0	363	149
491	47,83,74,72	2,0,0,0	50,55,50,63	0,0,0,0	494	149
492	19,27,27,24	2,0,0,0	18,15,16,19	0,0,0,0	280	149
493	19,27,30,27	0,0,3,3	20,15,16,20	6,2,0,0	280	149
494	54,44,61,51	1349,1099,1191,1053	29,34,35,30	901,947,870,847	171	149
