ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
415	2977,2033,1989,2102	11,3,4,5	1936,2100,1892,2052	3,5,0,5	298	149
416	2522,1778,1775,1898	8,3,1,2	1677,1794,1616,1821	2,4,11,4	298	149
423	209,95,117,138	21476,15214,16590,15221	105,94,92,91	14753,13464,13141,12825	298	149
424	1,2,0,2	8,7,8,16	0,0,0,2	1,5,1,4	298	149
431	29,33,19,14	482,384,361,362	5,6,2,2	82,100,94,81	298	149
432	69,41,46,36	495,313,405,320	10,3,8,10	87,92,83,89	255	149
433	52,36,35,54	355,296,249,253	60,34,34,30	380,403,311,364	298	149
434	262,216,209,244	17,23,16,7	259,250,224,240	12,12,9,5	298	149
435	0,2,4,1	1,1,0,0	1,0,1,1	2,0,0,0	236	149
436	2,4,2,0	0,0,1,0	1,4,1,5	0,0,0,0	298	149
437	5,1,2,0	0,1,1,2	2,1,0,0	0,0,1,0	249	149
438	3,1,1,0	1,0,0,5	0,5,0,1	0,2,0,0	269	149
440	7,10,7,12	496,427,482,487	7,10,10,9	453,536,449,443	298	149
441	55,32,28,19	381,249,253,245	33,28,38,29	272,263,214,236	298	149
442	43,22,26,14	46,16,23,9	19,19,32,26	29,22,12,17	290	149
443	51,35,37,42	1555,1161,1234,1098	36,29,34,45	1258,1320,1173,1230	298	149
445	15,9,0,7	35,13,15,17	5,10,1,5	10,16,13,6	232	149
446	16,9,0,8	4,7,1,2	6,10,1,5	0,1,1,1	236	149
447	26,16,15,11	1269,852,804,701	17,8,16,11	790,730,669,610	298	149
452	10,15,15,10	390,270,315,272	24,12,12,23	317,380,319,321	298	149
453	0,0,1,0	2,3,3,5	2,1,3,1	1,2,3,0	298	149
455	1281,872,916,982	4,2,4,6	863,871,761,864	1,1,1,3	298	149
456	305,238,210,174	4,2,4,0	252,224,228,202	6,1,1,2	298	149
457	50,48,40,26	807,587,586,603	51,43,40,32	599,582,624,575	298	149
458	5,3,3,3	2,2,1,4	2,2,3,6	3,4,0,4	246	149
460	197,157,156,123	617,465,422,419	146,132,122,114	395,388,315,343	232	149
462	110,53,65,46	13696,10949,10579,9283	43,57,50,46	10562,10976,9656,10724	298	149
463	41,25,29,27	1474,1040,1180,1052	36,24,23,14	798,928,780,852	228	149
464	714,628,653,566	0,4,0,1	931,899,869,826	0,2,0,2	298	149
465	36,20,18,26	1099,959,975,907	31,21,35,31	1198,1324,1163,1264	252	149
468	39,28,43,22	13,11,6,9	40,34,21,35	11,7,3,7	298	149
469	40,28,43,22	11,10,11,8	40,37,17,32	16,8,8,6	298	149
470	62,33,40,36	39312,28853,28115,26661	30,30,21,36	29991,29830,26791,29200	298	149
471	1362,856,1022,905	120,89,96,76	1022,968,882,965	88,81,85,80	298	149
472	43,14,20,15	36691,25926,24981,23517	18,27,29,27	26739,27758,23895,26552	244	149
473	31,17,31,21	1,0,0,0	30,22,21,24	2,2,0,0	298	149
474	69,57,49,53	1656,1164,1197,1211	61,57,70,64	1458,1530,1425,1572	298	149
475	9,10,9,3	1750,1232,1211,1233	2,2,4,5	1566,1574,1499,1563	298	149
476	40,17,15,25	1418,982,989,995	11,22,27,22	1318,1308,1112,1299	217	149
477	79,53,47,56	764,488,596,630	69,68,51,67	857,773,768,766	298	149
478	10,33,45,34	110,159,136,138	35,29,23,20	174,148,124,131	298	149
479	2218,1359,1396,1349	855,526,587,602	1062,1251,1187,1183	461,517,435,495	298	149
480	14,19,29,20	42,24,45,34	18,17,11,12	21,20,23,24	298	149
481	57,59,32,32	13,8,17,8	57,53,47,55	3,6,4,5	298	149
483	24,3,9,6	3765,3004,2864,2761	9,11,13,13	2824,2813,2576,2698	298	149
484	0,0,0,0	10,13,7,12	2,1,0,0	90,61,46,61	233	149
486	483,275,274,277	0,4,0,0	252,299,294,253	0,1,0,1	298	149
487	43,35,53,37	2170,2317,2211,2007	24,26,22,16	2047,2273,1822,1860	232	149
488	32,21,22,27	1583,1528,1542,1526	21,33,34,19	1548,1629,1320,1537	242	149
489	126,111,104,116	4,2,3,2	94,149,116,95	1,0,2,8	251	149
490	12,4,0,3	106,89,67,59	6,4,1,1	65,55,42,46	238	149
